19:33:47:639 [Information Program] Boiling, You're just a miserable copy of me!
21:54:06:434 [Information Program] Boiling, You're just a miserable copy of me!
21:54:06:461 [Fatal Program] No, I'm the upgrade!
22:03:02:617 [Information Program] Boiling, You're just a miserable copy of me!
22:03:02:647 [Fatal Program] No, I'm the upgrade!
22:05:10:841 [Information Program] Boiling, You're just a miserable copy of me!
22:05:10:862 [Fatal Program] No, I'm the upgrade!
22:05:59:818 [Information Program] Boiling, You're just a miserable copy of me!
22:05:59:844 [Fatal Program] No, I'm the upgrade!
22:17:01:274 [Information Program] Boiling, You're just a miserable copy of me!
22:17:01:409 [Fatal Program] No, I'm the upgrade!
08:52:53:135 [Information Program] Boiling, You're just a miserable copy of me!
08:52:53:157 [Fatal Program] No, I'm the upgrade!
08:53:27:432 [Information Program] Boiling, You're just a miserable copy of me!
08:53:27:453 [Fatal Program] No, I'm the upgrade!
08:53:54:442 [Information Program] Boiling, You're just a miserable copy of me!
08:53:54:601 [Fatal Program] No, I'm the upgrade!
08:54:21:715 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.197680E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:728 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.951171E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:740 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 5.581652E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:747 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.095285E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:754 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.044887E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:762 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 7.005847E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:769 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.901504E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:779 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.823202E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:786 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.882062E-002, expected: 1.000000E-009. Max iterations: 500
08:54:21:794 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 6.781823E-002, expected: 1.000000E-009. Max iterations: 500
08:56:08:886 [Information Program] Boiling, You're just a miserable copy of me!
08:56:08:912 [Fatal Program] No, I'm the upgrade!
09:04:49:750 [Information Program] Boiling, You're just a miserable copy of me!
09:04:49:787 [Fatal Program] No, I'm the upgrade!
09:05:30:027 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.939999E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:039 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.288565E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:051 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.283845E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:058 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.221321E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:065 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.120638E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:073 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.989506E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:080 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.835720E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:089 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.667406E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:096 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.492216E-001, expected: 1.000000E-009. Max iterations: 500
09:05:30:104 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.316612E-001, expected: 1.000000E-009. Max iterations: 500
09:13:19:855 [Information Program] Boiling, You're just a miserable copy of me!
09:13:19:880 [Fatal Program] No, I'm the upgrade!
09:16:24:170 [Information Program] Boiling, You're just a miserable copy of me!
09:16:24:189 [Fatal Program] No, I'm the upgrade!
09:17:13:825 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.429173E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:838 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.480798E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:848 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.517028E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:856 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.493353E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:863 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.434521E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:870 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.342234E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:878 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.219036E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:886 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.069527E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:894 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.900164E-001, expected: 1.000000E-009. Max iterations: 500
09:17:13:901 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.718395E-001, expected: 1.000000E-009. Max iterations: 500
09:23:47:443 [Information Program] Boiling, You're just a miserable copy of me!
09:23:47:463 [Fatal Program] No, I'm the upgrade!
09:23:54:239 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.017392E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:247 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.007750E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:251 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.015502E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:257 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.028490E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:261 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.044011E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:265 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.061128E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:268 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.079431E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:272 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.098710E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:275 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.118843E-001, expected: 1.000000E-009. Max iterations: 500
09:23:54:279 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.139750E-001, expected: 1.000000E-009. Max iterations: 500
09:27:05:249 [Information Program] Boiling, You're just a miserable copy of me!
09:27:05:273 [Fatal Program] No, I'm the upgrade!
09:27:13:413 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.017392E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:422 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.007750E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:425 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.015502E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:432 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.028490E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:436 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.044011E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:439 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.061128E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:443 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.079431E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:446 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.098710E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:449 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.118843E-001, expected: 1.000000E-009. Max iterations: 500
09:27:13:453 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.139750E-001, expected: 1.000000E-009. Max iterations: 500
09:27:41:828 [Information Program] Boiling, You're just a miserable copy of me!
09:27:41:844 [Fatal Program] No, I'm the upgrade!
09:27:49:043 [Information Program] Boiling, You're just a miserable copy of me!
09:27:49:060 [Fatal Program] No, I'm the upgrade!
09:27:55:847 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.017392E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:55:901 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.007750E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:55:951 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.015502E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:001 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.028490E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:051 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.044011E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:102 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.061128E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:152 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.079431E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:202 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.098710E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:251 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.118843E-001, expected: 1.000000E-030. Max iterations: 10000
09:27:56:302 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 1.139750E-001, expected: 1.000000E-030. Max iterations: 10000
14:09:34:100 [Information Program] Boiling, You're just a miserable copy of me!
14:09:34:147 [Fatal Program] No, I'm the upgrade!
14:12:10:287 [Information Program] Boiling, You're just a miserable copy of me!
14:12:10:306 [Fatal Program] No, I'm the upgrade!
14:12:51:436 [Information Program] Boiling, You're just a miserable copy of me!
14:12:51:459 [Fatal Program] No, I'm the upgrade!
14:13:06:053 [Information Program] Boiling, You're just a miserable copy of me!
14:13:06:080 [Fatal Program] No, I'm the upgrade!
14:13:25:073 [Information Program] Boiling, You're just a miserable copy of me!
14:13:25:094 [Fatal Program] No, I'm the upgrade!
14:14:19:663 [Information Program] Boiling, You're just a miserable copy of me!
14:14:19:688 [Fatal Program] No, I'm the upgrade!
14:14:57:580 [Information Program] Boiling, You're just a miserable copy of me!
14:14:57:604 [Fatal Program] No, I'm the upgrade!
14:15:40:189 [Information Program] Boiling, You're just a miserable copy of me!
14:15:40:208 [Fatal Program] No, I'm the upgrade!
14:15:58:582 [Information Program] Boiling, You're just a miserable copy of me!
14:15:58:600 [Fatal Program] No, I'm the upgrade!
14:16:09:659 [Information Program] Boiling, You're just a miserable copy of me!
14:16:09:678 [Fatal Program] No, I'm the upgrade!
14:16:44:852 [Information Program] Boiling, You're just a miserable copy of me!
14:16:44:868 [Fatal Program] No, I'm the upgrade!
14:16:48:533 [Information Program] Boiling, You're just a miserable copy of me!
14:16:48:554 [Fatal Program] No, I'm the upgrade!
14:17:52:999 [Information Program] Boiling, You're just a miserable copy of me!
14:17:53:021 [Fatal Program] No, I'm the upgrade!
14:19:15:320 [Information Program] Boiling, You're just a miserable copy of me!
14:19:15:342 [Fatal Program] No, I'm the upgrade!
14:19:30:862 [Information Program] Boiling, You're just a miserable copy of me!
14:19:30:884 [Fatal Program] No, I'm the upgrade!
14:21:03:389 [Information Program] Boiling, You're just a miserable copy of me!
14:21:03:410 [Fatal Program] No, I'm the upgrade!
14:21:48:612 [Information Program] Boiling, You're just a miserable copy of me!
14:21:48:633 [Fatal Program] No, I'm the upgrade!
14:22:43:256 [Information Program] Boiling, You're just a miserable copy of me!
14:22:43:277 [Fatal Program] No, I'm the upgrade!
14:22:56:345 [Information Program] Boiling, You're just a miserable copy of me!
14:22:56:364 [Fatal Program] No, I'm the upgrade!
14:23:32:720 [Information Program] Boiling, You're just a miserable copy of me!
14:23:32:744 [Fatal Program] No, I'm the upgrade!
14:24:41:988 [Information Program] Boiling, You're just a miserable copy of me!
14:24:42:010 [Fatal Program] No, I'm the upgrade!
14:27:19:444 [Information Program] Boiling, You're just a miserable copy of me!
14:27:19:462 [Fatal Program] No, I'm the upgrade!
14:29:05:127 [Information Program] Boiling, You're just a miserable copy of me!
14:29:05:149 [Fatal Program] No, I'm the upgrade!
14:30:02:277 [Information Program] Boiling, You're just a miserable copy of me!
14:30:02:298 [Fatal Program] No, I'm the upgrade!
14:30:47:571 [Information Program] Boiling, You're just a miserable copy of me!
14:30:47:653 [Fatal Program] No, I'm the upgrade!
14:31:10:732 [Information Program] Boiling, You're just a miserable copy of me!
14:31:10:754 [Fatal Program] No, I'm the upgrade!
14:33:12:590 [Information Program] Boiling, You're just a miserable copy of me!
14:33:12:614 [Fatal Program] No, I'm the upgrade!
14:34:55:316 [Information Program] Boiling, You're just a miserable copy of me!
14:34:55:337 [Fatal Program] No, I'm the upgrade!
14:35:19:767 [Information Program] Boiling, You're just a miserable copy of me!
14:35:19:790 [Fatal Program] No, I'm the upgrade!
14:37:15:299 [Information Program] Boiling, You're just a miserable copy of me!
14:37:15:319 [Fatal Program] No, I'm the upgrade!
14:39:55:222 [Information Program] Boiling, You're just a miserable copy of me!
14:39:55:244 [Fatal Program] No, I'm the upgrade!
14:40:58:006 [Information Program] Boiling, You're just a miserable copy of me!
14:40:58:025 [Fatal Program] No, I'm the upgrade!
14:49:47:100 [Information Program] Boiling, You're just a miserable copy of me!
14:49:47:175 [Fatal Program] No, I'm the upgrade!
14:53:02:379 [Information Program] Boiling, You're just a miserable copy of me!
14:53:02:474 [Fatal Program] No, I'm the upgrade!
14:54:58:438 [Information Program] Boiling, You're just a miserable copy of me!
14:54:58:462 [Fatal Program] No, I'm the upgrade!
15:00:30:173 [Information Program] Boiling, You're just a miserable copy of me!
15:00:30:195 [Fatal Program] No, I'm the upgrade!
15:01:47:254 [Information Program] Boiling, You're just a miserable copy of me!
15:01:47:276 [Fatal Program] No, I'm the upgrade!
15:02:13:827 [Information Program] Boiling, You're just a miserable copy of me!
15:02:13:846 [Fatal Program] No, I'm the upgrade!
15:13:45:315 [Information Program] Boiling, You're just a miserable copy of me!
15:13:45:337 [Fatal Program] No, I'm the upgrade!
15:17:13:130 [Information Program] Boiling, You're just a miserable copy of me!
15:17:13:154 [Fatal Program] No, I'm the upgrade!
15:25:41:990 [Information Program] Boiling, You're just a miserable copy of me!
15:25:42:010 [Fatal Program] No, I'm the upgrade!
15:33:52:306 [Information Program] Boiling, You're just a miserable copy of me!
15:33:52:327 [Fatal Program] No, I'm the upgrade!
15:34:10:437 [Information Program] Boiling, You're just a miserable copy of me!
15:34:10:460 [Fatal Program] No, I'm the upgrade!
15:35:29:250 [Information Program] Boiling, You're just a miserable copy of me!
15:35:29:269 [Fatal Program] No, I'm the upgrade!
15:36:05:716 [Information Program] Boiling, You're just a miserable copy of me!
15:36:05:738 [Fatal Program] No, I'm the upgrade!
15:39:17:618 [Information Program] Boiling, You're just a miserable copy of me!
15:39:17:639 [Fatal Program] No, I'm the upgrade!
15:40:24:764 [Information Program] Boiling, You're just a miserable copy of me!
15:40:24:785 [Fatal Program] No, I'm the upgrade!
15:41:15:306 [Information Program] Boiling, You're just a miserable copy of me!
15:41:15:328 [Fatal Program] No, I'm the upgrade!
15:41:51:626 [Information Program] Boiling, You're just a miserable copy of me!
15:41:51:648 [Fatal Program] No, I'm the upgrade!
15:43:23:067 [Information Program] Boiling, You're just a miserable copy of me!
15:43:23:089 [Fatal Program] No, I'm the upgrade!
15:49:02:510 [Information Program] Boiling, You're just a miserable copy of me!
15:49:02:526 [Fatal Program] No, I'm the upgrade!
15:49:40:139 [Information Program] Boiling, You're just a miserable copy of me!
15:49:40:164 [Fatal Program] No, I'm the upgrade!
15:50:31:186 [Information Program] Boiling, You're just a miserable copy of me!
15:50:31:206 [Fatal Program] No, I'm the upgrade!
15:50:56:692 [Information Program] Boiling, You're just a miserable copy of me!
15:50:56:722 [Fatal Program] No, I'm the upgrade!
15:51:47:125 [Information Program] Boiling, You're just a miserable copy of me!
15:51:47:157 [Fatal Program] No, I'm the upgrade!
15:52:25:329 [Information Program] Boiling, You're just a miserable copy of me!
15:52:25:351 [Fatal Program] No, I'm the upgrade!
15:54:43:171 [Information Program] Boiling, You're just a miserable copy of me!
15:54:43:197 [Fatal Program] No, I'm the upgrade!
15:55:58:087 [Information Program] Boiling, You're just a miserable copy of me!
15:55:58:112 [Fatal Program] No, I'm the upgrade!
15:56:03:910 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.402372E-001, expected: 1.000000E-009. Max iterations: 1000
15:58:01:001 [Information Program] Boiling, You're just a miserable copy of me!
15:58:01:022 [Fatal Program] No, I'm the upgrade!
15:58:55:953 [Information Program] Boiling, You're just a miserable copy of me!
15:58:55:973 [Fatal Program] No, I'm the upgrade!
15:59:39:122 [Information Program] Boiling, You're just a miserable copy of me!
15:59:39:143 [Fatal Program] No, I'm the upgrade!
16:00:41:119 [Information Program] Boiling, You're just a miserable copy of me!
16:00:41:142 [Fatal Program] No, I'm the upgrade!
16:01:49:276 [Information Program] Boiling, You're just a miserable copy of me!
16:01:49:297 [Fatal Program] No, I'm the upgrade!
16:02:08:430 [Information Program] Boiling, You're just a miserable copy of me!
16:02:08:446 [Fatal Program] No, I'm the upgrade!
16:06:42:070 [Information Program] Boiling, You're just a miserable copy of me!
16:06:42:093 [Fatal Program] No, I'm the upgrade!
16:07:06:664 [Information Program] Boiling, You're just a miserable copy of me!
16:07:06:681 [Fatal Program] No, I'm the upgrade!
16:08:24:602 [Information Program] Boiling, You're just a miserable copy of me!
16:08:24:617 [Fatal Program] No, I'm the upgrade!
16:08:43:982 [Information Program] Boiling, You're just a miserable copy of me!
16:08:43:998 [Fatal Program] No, I'm the upgrade!
16:08:44:866 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 3.334792E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:45:405 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.690602E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:45:925 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.383135E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:46:478 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.220138E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:46:991 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.156826E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:47:504 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.149194E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:48:023 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.133268E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:48:536 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.133223E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:49:050 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.128324E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:49:573 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.128560E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:50:098 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.126964E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:50:610 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.127091E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:51:126 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.126574E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:51:672 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.126638E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:52:218 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.126477E-001, expected: 1.000000E-009. Max iterations: 1000
16:08:52:741 [Warning SharpMath.EquationsSystem.Solver.LocalOptimalScheme] LOS run out of iterations. residual: 2.126510E-001, expected: 1.000000E-009. Max iterations: 1000
